Year	0_temp	1_temp	2_temp	3_temp	4_temp
2369	1.05142419316	1.44388256038	2.13394838716	1.23270098126	1.71212002578
2370	1.05139553577	1.44376579433	2.13428033393	1.2325599408	1.71213112355
2371	1.0513672496	1.44364923312	2.13461064592	1.23241936303	1.71214184535
2372	1.05133933268	1.44353287606	2.13493932753	1.23227924627	1.71215219226
2373	1.05131178302	1.44341672247	2.13526638318	1.23213958882	1.71216216536
2374	1.05128459865	1.44330077167	2.13559181729	1.23200038901	1.71217176575
2375	1.05125777761	1.443185023	2.13591563429	1.23186164515	1.71218099453
2376	1.05123131794	1.44306947579	2.1362378386	1.2317233556	1.7121898528
2377	1.0512052177	1.44295412938	2.13655843466	1.23158551868	1.71219834167
2378	1.05117947493	1.44283898314	2.1368774269	1.23144813276	1.71220646226
2379	1.05115408772	1.44272403641	2.13719481976	1.23131119618	1.71221421568
2380	1.05112905412	1.44260928857	2.13751061767	1.23117470732	1.71222160305
2381	1.05110437223	1.44249473898	2.13782482509	1.23103866455	1.7122286255
2382	1.05108004012	1.44238038701	2.13813744645	1.23090306626	1.71223528416
2383	1.0510560559	1.44226623205	2.13844848619	1.23076791082	1.71224158016
2384	1.05103241766	1.44215227349	2.13875794877	1.23063319664	1.71224751464
2385	1.05100912351	1.44203851073	2.13906583863	1.23049892212	1.71225308874
2386	1.05098617157	1.44192494315	2.13937216022	1.23036508566	1.71225830361
2387	1.05096355997	1.44181157017	2.13967691799	1.2302316857	1.71226316039
2388	1.05094128683	1.4416983912	2.13998011638	1.23009872064	1.71226766022
2389	1.05091935029	1.44158540566	2.14028175984	1.22996618893	1.71227180428
2390	1.05089774849	1.44147261296	2.14058185282	1.229834089	1.7122755937
2391	1.0508764796	1.44136001253	2.14088039977	1.22970241929	1.71227902965
2392	1.05085554176	1.4412476038	2.14117740513	1.22957117827	1.7122821133
2393	1.05083493314	1.44113538622	2.14147287334	1.22944036438	1.71228484579
2394	1.05081465192	1.44102335922	2.14176680886	1.22930997609	1.7122872283
2395	1.05079469628	1.44091152225	2.14205921612	1.22918001189	1.712289262
2396	1.0507750644	1.44079987476	2.14235009957	1.22905047023	1.71229094806
2397	1.05075575448	1.44068841621	2.14263946363	1.22892134962	1.71229228764
2398	1.05073676472	1.44057714606	2.14292731275	1.22879264855	1.71229328193
2399	1.05071809333	1.44046606378	2.14321365137	1.2286643655	1.71229393209
2400	1.05069973852	1.44035516883	2.14349848391	1.228536499	1.7122942393
2401	1.05068169852	1.44024446069	2.1437818148	1.22840904754	1.71229420474
2402	1.05066397156	1.44013393885	2.14406364848	1.22828200966	1.7122938296
2403	1.05064655587	1.44002360278	2.14434398935	1.22815538386	1.71229311504
2404	1.05062944969	1.43991345197	2.14462284185	1.2280291687	1.71229206226
2405	1.05061265128	1.43980348591	2.14490021038	1.22790336269	1.71229067244
2406	1.05059615889	1.43969370411	2.14517609937	1.22777796439	1.71228894676
2407	1.05057997079	1.43958410605	2.14545051322	1.22765297234	1.7122868864
2408	1.05056408525	1.43947469126	2.14572345633	1.22752838511	1.71228449256
2409	1.05054850055	1.43936545922	2.14599493311	1.22740420124	1.71228176641
2410	1.05053321496	1.43925640947	2.14626494796	1.22728041932	1.71227870915
2411	1.05051822679	1.43914754151	2.14653350526	1.22715703791	1.71227532197
2412	1.05050353433	1.43903885486	2.14680060942	1.2270340556	1.71227160604
2413	1.05048913589	1.43893034905	2.1470662648	1.22691147096	1.71226756257
2414	1.05047502978	1.4388220236	2.1473304758	1.2267892826	1.71226319275
